81	7	5415	16	52	3	14	15	16	0	0	1
104	6	2413	12	52	559	1	8	2	0	0	0
101	6	92	10749	52	6194	2	3	4	0	0	0
127	6	34	35	52	306	1	2	3	0	0	0
106	5	173	35	52	5842	1	2	3	0	0	0
170	7	1886	28	52	508	25	26	27	0	0	0
127	6	141	35	52	4	1	2	3	0	0	0
106	5	174	28	52	33	1	2	4	0	0	0
130	6	1194	12	52	60	1	2	3	0	0	0
106	6	199	35	52	5	1	2	3	0	0	0
88	5	210	35	52	5	9	10	11	0	0	0
78	7	423	10751	52	33	1	2	8	0	0	0
192	7	72	36	52	915	1	2	16	0	0	0
119	5	137	28	52	183	1	2	3	0	0	0
178	7	1343	18	52	33	4	5	6	0	0	0
136	7	364	18	52	441	6	7	8	0	0	0
98	6	539	80	52	14	42	31	29	0	0	0
90	6	1128	80	52	5682	1	2	3	0	0	0
103	5	224	28	52	5	1	3	4	0	0	0
105	6	305	35	52	216	1	2	3	0	1	0
124	6	199	18	52	508	8	9	10	0	0	0
132	6	394	28	52	1885	1	2	3	0	0	0
111	6	143	18	52	175	1	2	3	0	0	0
112	7	365	18	52	60	1	2	3	0	0	0
123	7	33	18	52	5	2	3	4	0	0	0
100	6	91	35	52	12	9	10	11	0	0	0
104	7	36	18	52	288	1	2	6	0	0	0
108	7	308	14	52	311	24	25	26	1	0	1
108	6	17	18	52	2588	2	9	10	0	0	0
99	6	249	18	52	915	13	14	15	0	0	0
129	7	2470	878	52	33	41	42	43	1	0	0
89	6	756	14	52	33	1	2	3	0	0	0
121	6	16	36	52	694	1	2	9	0	0	0
122	7	350	18	52	406	7	8	9	0	0	0
101	6	149	35	52	6130	1	2	3	0	0	0
97	6	828	35	52	4	8	9	10	0	0	0
106	6	13	18	52	53009	4	6	8	0	0	0
104	6	50	18	52	871	1	2	3	0	0	0
119	6	80	28	52	175	1	2	3	0	0	0
117	6	30	18	52	14	1	2	3	0	0	0
101	5	452	28	52	12	1	2	3	0	1	0
106	6	177	14	52	364	4	5	6	0	0	0
116	6	38	18	52	33	1	2	3	0	0	0
127	8	5915	80	52	12	17	18	19	0	0	0
81	6	1509	12	52	2	1	2	3	0	0	0
96	5	10	18	52	2480	1	2	11	0	0	0
106	8	3334	18	52	361	19	20	24	0	0	0
95	6	145	35	52	14	1	2	3	0	0	0
116	7	11	18	52	-1	2	6	7	0	0	0
